ID,IMG,LGD,URL,PRB,TAG
000000001,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmFl4H5GMtbmESpyXIxSsusYXbAMzdYvlgDIo1IcuU9XG56qUrusSl16oV07IrcTIoeiuQM0a28hx1O0jOqrYbcbptck47jKwHExkbqfDoSCzYJcnCOb5baOX2XLc5AiioZECbczMy03IImV4WeoesG7rhzE06pTczLWyjoIX6Igj72WeY1BRWEym7TxA/s1500/20230513_222122_0000.png,"Flor da Vida
instagram:victor.macedo2001",victormacedo2001.web22.org,24,
000000002,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLA4KwL_tyMOLdixywb4QgiSIv1QhBWyzARqqwq3b-gU1GnA6CUQKq05byaozD9wqh9F13hOqzDi_Ok8EZ7p92BrFHSogR8wL0mrUoSLbF3gancIijONLuQPV2uGxlulFqEZHqId_-hA6h-sUULB-tN5GIxkZumIEfaEUJx_NpLdV4od78jWxSZbGgNqQ/s16000/arlequim.png,"Arlequim
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000003,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEggq-_r_kYnT7dhuo8ZNLXK3AMNCARLITW56EiomoTQTNLIlLmDFgSoZxnWiYqcW9qdZLShrqutdO7ddHNkfBdnpPBNXuKsdCUJl7a-gbhtqsGjZuuuGWxoEMbg6vKet2E9U2RxdBsl5IVL2b2zTi9OWeJLukJZdOEHfkMy8nUYq3mgASh04rRtgqQY9kk/s16000/astronauta%20de%20bermuda%20e%20chinelo.png,"Astronauta de bermuda
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000004,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjB_0AHuuu8WFpPnCllYEq-qco8Q3ktk_Ubt8Xo9zZZMESIMYoke2CoTP5xlROjbJ_vc-4mh2NXEyb3TgxwbY9AVABaKPodrfK8jo2VNWLH1WFCS2nH5C2xlH947hWA950inPiDSrwHGef_dZvtDpMmkkJTBTPqOBMKIoutNbwR12nhxlQrrCPqFC_zxpQ/s16000/breakHeart.png,"Heart Breaked
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000005,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiA20P464VmDzVsVn-IgXX-zcRjLln5DWfSL7TAB3ZDsvMASRNnPXl3sSaO8JM4Py7Ql01LZTFxXyLPbYdWgQrR_IoRo3_lzz6xtNBZI7yRDWDYO5IDyyl81jwrY7Ww-PS9J8wzyV7vbp6OPrJp8c5O42XiZYEZJej69u9hMSVjDA7GkSNo-CcIjZw8hwo/s16000/fruto%20do%20conhecimento.png,"Fruto do conhecimento
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000006,,,,,
000000007,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj0QCFIB8fGJ6Wqs7xxz-RxOGScj8g8wDcHbLZZ5jZM-imE1pYsUTI73wbyoXsln36gN88FdWsoguPElLRx7FHJ7GlJ-YclWyG6D7-eDyBna3cNa9TDAYCTF5aGRQqy9kquXO-D6JIUFklbVoyXaWIt4Io6XjoFR7FUFRf13wFDq7VL01cqfLT0B3s76nM/s16000/pit_bul.png,"Head Dog in Circle
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000008,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEilUjDeyPqGPsUuj4_01JC-dm1trSntZsLHkwchIiHRLwZbHwAScIys9RCUuKrtvjCmbx-yV6mpVlrnUANEDne7rLvnBtopZ4rYZeCpCpxxoBiBSKjyvnGmF6lGMAoZc4Ro29Idl0beLWiAyd98L2mwVzWSPc7rWk6v3ue_M6TMeY3n77pVJxp-_FqBUr0/s16000/PitDogCroocked.png,"Head Dog
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000009,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgEGEC78NjLxlyiM-03rPIfzLHInh57tVY3J9BcIu0UrvZ4ugPdbESniKYd4y9BTc_xu-y5oSQz9E7fiofzRLSL3Bd8KbFsur6wR7e60EJGIyEKqb8LG1YePr9IzhyCFoqtuf51UM80LGFSwVsX2mtiZMkzapOoDxQNgdt89vQ0-Te7oyoFUCqfEO129HA/s16000/Psicoticgirl.png,"Psicotic Girl
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000010,"https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgDYooDAPQXS1vqrrKX742DKzmmcRq0gPBH25vyHWTSVbCanaodE8c6FUulMP8SbmKsdKS4Fom9o_H7etQdblduzGT1E44iLJ9X3uKXAgYoH3jrt2DiGtqdSJadTDmUXIhgxryvbsj1fyO3uZabsiIwNTEok_lGwGQPfPiWL0mFukvAS3sN_kjCRm6mVJY/s16000/%C3%81tomo,Born.png","Átomo de Borhn
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000011,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiskmShTZ_1R8Uz5XECFBLNS9CsAL7RH7UXgPLyuCxErqColK24BQm_UjNrj_Q9q6FUmsDq206Ze8j6qsydXOSQKXdYIAUxRdcTIkEq6y5Dk7dbywSSyGJwndpe7Yif4YbvH9u80nMonP4jE97wrATEjdfOcvMOmA34WbO3WqVgny94qVmhCiMONt2nJHM/s16000/HeadZombieGirl.png,"Head Zombie Girl
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000012,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6Mmn3_9XxhA-YPaiqI1sKbyZbbgpATJEKq4Jy0NxqTfa4ZSuVTJaPod6u6M1FH9bvLIjyKkPmqvM4rOIZT9f7XIdaYAXMACLxd-Gq_YQkHRZDLcn4jeFrZB_zJdadEUgxWwnzNSwiu_nube5sWTRNAehCjimrDSZrEbpZdWlAz7tMluVoWtIOhRPGPNM/s16000/POETA001.png,"Poetas Gacha
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000013,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiYoHJF4D3P21jg-APB1DYO9K6PjmYLZpZ3zmMiZddos68yqwtTzbm-3HL1wpKcXweNCx7XES1MKAHkoXjK9_Hx3NydHneZ7_ggMHEdPWBbUrf9f1dwdu6a-x5rEhH_gYfvjAnBtsTR2NT0FylVD-VHE0mkwbcgnjwl6c1XXWzE4tJ6fv1qWTWColUUOaY/s16000/000.png,"Simbolo Waranas_001
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
000000014,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhnZadaNw6Ht9qn06d29CP0hdZ4bYaYNpRpKQ_u2LiFVCzd3Dd-ShVjFH_Xp_09gmm-kFP8kSaWs_ISMV9W4RZi1c_ng_pG8ck5KhJZG5vDX0kyyp5ZxxLYnYwuruPNRzEl1OAhu3MNV_xO3ZMNrG3wUZJHATVmsGipTbUZ_X9XJIEf0p-i1rWhDJbTNJo/s16000/IMG-20191218-WA0008.jpg,"POETA001_Anime_Draw_Concept
Autor: victor.macedo2001",victormacedo2001.web22.org,24,
